MPI OMP Results
(num processors: num threads: time in microseconds)
2: 2: 7.8307975
2: 3: 9.61274425
2: 4: 11.52872125
2: 5: 15.77703125
2: 6: 18.68813225
2: 7: 21.607337
2: 8: 24.89204775
2: 9: 39.1222125
2: 10: 45.056911
2: 11: 51.4114905
2: 12: 57.78818225
3: 2: 8.975036
3: 3: 11.0074018333
3: 4: 12.8026325
3: 5: 17.2624155
3: 6: 20.3268625
3: 7: 22.9895296667
3: 8: 26.3143176667
3: 9: 40.3902926667
3: 10: 47.5256063333
3: 11: 52.3732568333
3: 12: 59.9967816667
4: 2: 11.81465825
4: 3: 13.625416875
4: 4: 15.61263925
4: 5: 19.76288225
4: 6: 22.698169125
4: 7: 25.49357
4: 8: 29.41165975
4: 9: 43.211617625
4: 10: 49.412398
4: 11: 55.553445375
4: 12: 62.501659625
5: 2: 12.9091764
5: 3: 15.0478668
5: 4: 16.6085407
5: 5: 21.0253679
5: 6: 24.5428005
5: 7: 26.3957108
5: 8: 30.1571471
5: 9: 44.2786194
5: 10: 50.6686165
5: 11: 56.5966826
5: 12: 63.1562555
6: 2: 13.5469563333
6: 3: 15.430391
6: 4: 17.3660798333
6: 5: 21.3392296667
6: 6: 25.2049775833
6: 7: 27.5582500833
6: 8: 30.8339125
6: 9: 44.8006649167
6: 10: 51.63366675
6: 11: 57.1001521667
6: 12: 63.8903629167
7: 2: 14.2408883571
7: 3: 16.1745805
7: 4: 17.5449785
7: 5: 22.2049920714
7: 6: 25.4578632143
7: 7: 27.9227214286
7: 8: 31.5325564286
7: 9: 45.3148229286
7: 10: 51.7497942143
7: 11: 57.3202968571
7: 12: 64.4783135
8: 2: 16.1486805625
8: 3: 18.025948875
8: 4: 19.67203425
8: 5: 24.2761414375
8: 6: 27.659183375
8: 7: 30.1008511875
8: 8: 33.667778
8: 9: 47.32942525
8: 10: 53.8501566875
8: 11: 59.2926561875
8: 12: 65.7292070625
