MPI OMP Results
(num processors: num threads: time in microseconds)
2: 2: 7.709025
2: 3: 9.6132285
2: 4: 11.5278625
2: 5: 15.7234755
2: 6: 18.5520605
2: 7: 21.6936645
2: 8: 25.1591905
2: 9: 39.2940165
2: 10: 44.874007
2: 11: 51.5636875
2: 12: 57.7077
3: 2: 8.80833666667
3: 3: 10.7679236667
3: 4: 12.713235
3: 5: 17.1708216667
3: 6: 20.346213
3: 7: 22.9528336667
3: 8: 25.5874906667
3: 9: 40.445226
3: 10: 48.3952376667
3: 11: 52.2111423333
3: 12: 59.8712636667
4: 2: 11.727701
4: 3: 13.47726525
4: 4: 15.50313425
4: 5: 19.78923525
4: 6: 22.39242325
4: 7: 25.23321675
4: 8: 29.24646225
4: 9: 43.422381
4: 10: 49.24647125
4: 11: 55.43243375
4: 12: 62.62762775
5: 2: 12.8517864
5: 3: 14.9369592
5: 4: 16.7308204
5: 5: 21.185976
5: 6: 24.3250576
5: 7: 26.1038316
5: 8: 30.6842534
5: 9: 44.5837748
5: 10: 50.2594488
5: 11: 56.5584042
5: 12: 63.2828458
6: 2: 13.6333293333
6: 3: 15.0301401667
6: 4: 17.2878243333
6: 5: 21.2474951667
6: 6: 24.8359601667
6: 7: 27.4899623333
6: 8: 30.7951536667
6: 9: 44.6115161667
6: 10: 51.7592326667
6: 11: 57.1198545
6: 12: 63.9113818333
7: 2: 13.558452
7: 3: 16.0015337143
7: 4: 17.6660042857
7: 5: 22.4597798571
7: 6: 25.326509
7: 7: 27.9406727143
7: 8: 31.2204628571
7: 9: 45.1387684286
7: 10: 51.6128854286
7: 11: 57.319298
7: 12: 64.0768467143
8: 2: 16.205246375
8: 3: 17.7915305
8: 4: 20.153603
8: 5: 24.16182775
8: 6: 28.047155375
8: 7: 30.078460375
8: 8: 34.57353075
8: 9: 47.431779625
8: 10: 54.19890375
8: 11: 59.813316
8: 12: 65.63329525
